ID,Title,total_fields,field_1_title,field_1_enabled,field_2_title,field_2_enabled,field_3_title,field_3_enabled,field_4_title,field_4_enabled,field_5_title,field_5_enabled,field_6_title,field_6_enabled,field_7_title,field_7_enabled,field_8_title,field_8_enabled,_enable_custom_addons,_enable_text_field_nombre_persona,_enable_text_field_fecha_evento,_enable_text_field_localidad,_enable_text_field_iglesia,_enable_text_field_hora_misa,_enable_text_field_restaurante,_enable_text_field_observaciones,_enable_text_field_ano_curso,_enable_text_field_hora_evento,_enable_text_field_inicial
28096,"ETIQUETA REDONDA BODA colección ""CAMPESTRE""",4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,off,,,,,,,,,,on,on,off,off,off,off,off,,off,off
28101,"ETIQUETA CUADRADA BODA colección ""CAMPESTRE""",4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,off,,,,,,,,,,on,on,off,off,off,off,off,,off,off
28109,"ETIQUETA REDONDA BODA colección ""LILA""",4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,off,,,,,,,,,,on,on,off,off,off,off,off,,off,off
28136,"ETIQUETA CUADRADA BODA colección ""LILA""",4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,off,,,,,,,,,,on,on,off,off,off,off,off,,off,off
20015,RECORDATORIO DE COMUNIÓN DE NIÑA,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
20021,RECORDATORIO DE COMUNIÓN DE NIÑO,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
22004,RECORDATORIO DE COMUNIÓN DE NIÑA (apaisado 15 x 10 cm),4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
22012,RECORDATORIO DE COMUNIÓN DE NIÑA CON GUIRNALDA (apaisado 15 x 10 cm),4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
22020,RECORDATORIO COMUNIÓN CON GUIRNALDA ( apaisado 15 x 10 cm),4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
22027,RECORDATORIO DE COMUNIÓN DE NIÑA CON CIRCULO (apaisado 15 x 10 cm),4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
22359,RECORDATORIO DE COMUNIÓN MARCAPÁGINAS SIMPLE,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
22366,RECORDATORIO DE COMUNIÓN MARCAPÁGINAS  CON GUIRNALDA Y NIÑA,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
