"ID","Title","Sku","Product Type","_enable_custom_addons","_enable_text_field_nombre_persona","_enable_text_field_fecha_evento","_enable_text_field_localidad","_enable_text_field_iglesia","_enable_text_field_hora_misa","_enable_text_field_restaurante","_enable_text_field_observaciones","_enable_text_field_ano_curso","_enable_text_field_hora_evento","_enable_text_field_inicial","_text_field_option_nombre_persona","_text_field_option_fecha_evento"
"20995","ETIQUETA ESTRELLITAS","AP-10175","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA/NIÑO","FECHA BAUTIZO/CUMPLEAÑOS/COMUNIÓN"
"21009","LIBRO DE FIRMAS BAUTIZO CON ELEFANTE, LEON O JIRAFA","AP-10177","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE BEBÉ","FECHA BAUTIZO"
"21115","ETIQUETA REDONDA PARA BAUTIZO CON ANIMALES","AP-10185","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA/NIÑO","FECHA BAUTIZO"
"21134","ETIQUETA GUIRNALDA DE FLORES ROSAS","AP-10188","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA BAUTIZO/CUMPLEAÑOS/COMUNIÓN"
"21148","ETIQUETA GUIRNALDA DE FLORES RUSTICAS AZULES","AP-10191","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA BAUTIZO/CUMPLEAÑOS/COMUNIÓN"
"21162","ETIQUETA GUIRNALDA DE FLORES AZULES DELICADAS","AP-10194","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA BAUTIZO/CUMPLEAÑOS/COMUNIÓN"
"21175","ETIQUETA CON FONDO DE FLORES ROSAS","AP-10197","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA BAUTIZO/CUMPLEAÑOS"
"21192","RECORDATORIO DOBLE CON INICIAL CON CUADROS VICHY","AP-10199","variable","","yes","yes","yes","no","no","no","no","","no","","NOMBRE","FECHA "
"21210","CUADERNO CON INCIAL","AP-10201","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"21264","INVITACIÓN DE BAUTIZO CON BEBÉ","AP-10204","variable","","yes","yes","yes","yes","no","yes","no","","no","","NOMBRE NIÑO","FECHA BAUTIZO"
"21276","INVITACIÓN DE BAUTIZO CON ANIMALES","AP-10207","variable","","yes","yes","yes","yes","no","yes","no","","no","","NOMBRE NIÑO","FECHA BAUTIZO"
"21469","ETIQUETAS CON FORMA DE BEBÉ + ETIQUETA NOMBRE","AP-10213","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"21484","KIT PARA FIESTA - CAPERUCITA ROJA","AP-10216","variable","","no","no","no","no","no","no","no","","no","","",""
"21508","KIT PARA FIESTA - BAILARINA","AP-10225","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA FIESTA "
"21526","KIT PARA FIESTA - UNICORNIO","AP-10232","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA FIESTA "
"21542","KIT PARA FIESTA - SIRENA","AP-10235","variable","","no","no","no","no","no","no","no","","no","","",""
"21551","KIT PARA FIESTA - ANIMALES DEL BOSQUE","AP-10240","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA O NIÑO","FECHA FIESTA "
"21672","LIBRO DE FIRMAS BAUTIZO CON ANIMALES DEL BOSQUE","AP-10247","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE BEBÉ","FECHA BAUTIZO"
"21692","LÁMINA DE ÁRBOL DE HUELLAS CON ELEFANTE, LEON O JIRAFA","AP-10256","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE BEBÉ","FECHA BAUTIZO"
"21699","LÁMINA DE ÁRBOL DE HUELLAS CON ANIMALES DEL BOSQUE","AP-10260","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE BEBÉ","FECHA BAUTIZO"
"21855","LIBRO DE FIRMAS DE COMUNION  PARA NIÑO CON  CORONA","AP-10296","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE DE LA NIÑO","FECHA COMUNIÓN"
"21973","LÁMINA DE ARBOL DE HUELLAS DE COMUNIÓN NIÑA","AP-10299","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22004","RECORDATORIO DE COMUNIÓN DE NIÑA (apaisado 15 x 10 cm)","AP-10304","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22012","RECORDATORIO DE COMUNIÓN DE NIÑA CON GUIRNALDA (apaisado 15 x 10 cm)","AP-10307","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22020","RECORDATORIO COMUNIÓN CON GUIRNALDA ( apaisado 15 x 10 cm)","AP-10310","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22027","RECORDATORIO DE COMUNIÓN DE NIÑA CON CIRCULO (apaisado 15 x 10 cm)","AP-10313","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22034","ETIQUETAS CUADRADA DE COMUNION CON NIÑA","AP-10316","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22058","ETIQUETAS CUADRADA CON GUIRNALDA","AP-10319","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22086","ETIQUETAS REDONDAS DE COMUNION CON GUIRNALDA","AP-10322","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22131","LIBRO DE FIRMAS DE COMUNION  PARA NIÑO CON  CORONA VERDE","AP-10332","variable","","yes","yes","yes","yes","no","no","yes","","no","","NOMBRE DE LA NIÑO","FECHA COMUNIÓN"
"22302","ETIQUETAS DE COMUNION CON NIÑA (TIPO TAG)","AP-10335","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22332","ETIQUETAS CON CORONA (TIPO TAG)","AP-10338","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA ","FECHA COMUNIÓN"
"22359","RECORDATORIO DE COMUNIÓN MARCAPÁGINAS SIMPLE","AP-10340","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22366","RECORDATORIO DE COMUNIÓN MARCAPÁGINAS  CON GUIRNALDA Y NIÑA","AP-10343","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22372","RECORDATORIO COMUNIÓN DE NIÑA MARCAPÁGINAS CON GUIRNALDA","AP-10346","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22398","RECORDATORIO DE COMUNIÓN MARCAPÁGINAS DOBLE CON CARTULINA KRAFT","AP-10349","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22415","RECORDATORIO COMUNIÓN MARCAPÁGINAS CON GUIRNALDA DOBLE CON CARTULINA KRAFT","AP-10352","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22426","RECORDATORIO DE COMUNIÓN MARCAPÁGINAS  CON GUIRNALDA Y NIÑA DOBLE CON CARTULINA KRAFT","AP-10355","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22434","RECORDATORIO COMUNIÓN MARCAPÁGINAS CON GUIRNALDA DOBLE CON CARTULINA LUNARES","AP-10358","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22443","FAJÍN DE BOTELLA DE COMUNIÓN DE NIÑO","AP-10361","variable","","","","","","","","","","","","",""
"22448","RECORDATORIO DE COMUNIÓN DE NIÑO MARCAPÁGINAS SIMPLE","AP-10363","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑO","FECHA COMUNIÓN"
"22462","RECORDATORIO COMUNIÓN DE NIÑO MARCAPÁGINAS CON GUIRNALDA","AP-10366","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE DE LA NIÑO","FECHA COMUNIÓN"
"22469","BOLSITA DE CELOFÁN CON ETIQUETA DE NIÑA DE COMUNIÓN","AP-10369","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22492","BOLSITA DE CELOFÁN CON ETIQUETA DE GUIRNALDA DE NIÑA","AP-10379","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22516","BOLSITA DE CELOFÁN CON ETIQUETA DE NIÑO DE COMUNIÓN","AP-10389","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑO","FECHA COMUNIÓN"
"22551","BOLSITA DE CELOFÁN CON ETIQUETA DE GUIRNALDA DE NIÑO","AP-10400","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑO","FECHA COMUNIÓN"
"22577","LÁMINA DE ARBOL DE HUELLAS DE COMUNIÓN NIÑO","AP-10410","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑO","FECHA COMUNIÓN"
"22594","ETIQUETAS CUADRADA CON GUIRNALDA NIÑO","AP-10415","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑO","FECHA COMUNIÓN/BAUTIZO"
"22641","RECORDATORIO BAUTIZO MARCAPÁGINAS CON ANIMALES","AP-10418","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑO/ DE LA NIÑA","FECHA BAUTIZO"
"22654","RECORDATORIO BAUTIZO MARCAPÁGINAS CON BEBE SONRIENTE","AP-10421","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑO/ DE LA NIÑA","FECHA BAUTIZO"
"22662","ETIQUETAS CUADRADA BAUTIZO CON ANIMAL","AP-10424","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA/O","FECHA BAUTIZO"
"22689","ETIQUETAS CUADRADAS CON BEBE SONRIENTE","AP-10427","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑO/ DE LA NIÑA","FECHA BAUTIZO"
"22706","MINUTA - TARJETA  MENÚ COMUNIÓN DE NIÑO","AP-10429","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑO","FECHA COMUNIÓN"
"22721","MINUTA- TARJETA MENÚ COMUNIÓN DE NIÑA","AP-10432","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22727","MINUTA- TARJETA MENÚ CON GUIRNALDA NIÑA","AP-10438","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22733","MINUTA - TARJETA MENÚ GUIRNALDA NIÑO","AP-10444","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE DE LA NIÑO","FECHA COMUNIÓN"
"22760","RECORDATORIO DE COMUNIÓN DE NIÑA CLÁSICO","AP-10450","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22770","RECORDATORIO DE COMUNIÓN DE NIÑA CON GUIRNALDA CLÁSICO","AP-10453","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22778","RECORDATORIO COMUNIÓN CON GUIRNALDA CLÁSICA","AP-10456","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22789","RECORDATORIO DE COMUNIÓN DE NIÑA CLÁSICO CUADRADO","AP-10459","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22810","RECORDATORIO DE COMUNIÓN CUADRADA DOBLE CON CARTULINA KRAFT","AP-10462","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22815","RECORDATORIO DE COMUNIÓN DE NIÑO CLÁSICO","AP-10465","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑO","FECHA COMUNIÓN"
"22831","ETIQUETAS REDONDAS CON FESTÓN DE COMUNION (NIÑA)","AP-10468","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22858","ETIQUETAS REDONDAS DE COMUNIÓN CON FESTÓN Y CON GUIRNALDA","AP-10470","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22887","DETALLE  COMUNIÓN LÁPIZ MONTADO EN CARTULINA PERSONALIZADA PARA NIÑA","AP-10472","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"22900","DETALLE  COMUNIÓN LÁPIZ MONTADO EN CARTULINA PERSONALIZADA PARA NIÑO","AP-10475","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑO","FECHA COMUNIÓN"
"22912","GUIRNALDA DE BANDERINES CON NOMBRE Y NIÑO PERSONALIZADO","AP-10478","variable","","yes","no","no","no","no","no","no","","no","","NOMBRE NIÑO",""
"22922","GUIRNALDA DE BANDERINES CON NOMBRE Y NIÑA PERSONALIZADA","AP-10480","variable","","yes","no","no","no","no","no","no","","no","","NOMBRE NIÑA",""
"22937","LIBRO DE FIRMAS DE PRIMERA COMUNIÓN CON LOMO KRAFT Y NIÑO PERSONALIZADO","AP-10482","variable","","yes","yes","yes","yes","no","no","no","no","no","","NOMBRE NIÑO","FECHA COMUNIÓN"
"22967","DETALLE  COMUNIÓN LÁPIZ MONTADO EN CARTULINA CON CORONA DE FLORES","AP-10485","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"23011","LIBRO DE FIRMAS CON INICIAL CON FLORES (NIÑA)","AP-10487","variable","","yes","yes","yes","yes","no","no","yes","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"23018","RECORDATORIO DE COMUNIÓN DOBLE CON INICIAL DE FLORES Y CARTULINA KRAFT","AP-10498","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"23031","RECORDATORIO COMUNIÓN CON INICIAL DE FLORES","AP-10500","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑO","FECHA COMUNIÓN"
"23041","ETIQUETA CUADRADA CON INCIAL CON FLORES","AP-10502","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"23056","RECORDATORIO DE COMUNIÓN CON INICIAL DE FLORES","AP-10504","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"23064","RECORDATORIO DE COMUNIÓN CUADRADO CON INICIAL DE FLORES CON CARTULINA KRAFT","AP-10507","variable","","yes","yes","yes","yes","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"23194","GUIRNALDA DE BANDERINES CON FÚTBOL Y NOMBRE  DEL NIÑO","AP-10510","simple","","yes","no","no","no","no","no","no","","no","","NOMBRE NIÑO",""
"23196","GUIRNALDA DE BANDERINES CON NOMBRE Y CORONA DE FLORES","AP-10512","variable","","yes","no","no","no","no","no","no","","no","","NOMBRE NIÑA/NIÑO",""
"23211","GUIRNALDA DE BANDERINES EN FORMA DE PENDÓN CON NOMBRE Y CORONA DE FLORES","AP-10514","variable","","yes","no","no","no","no","no","no","","no","","NOMBRE NIÑA/NIÑO",""
"23313","LÁMINA DE HUELLAS CON BAILARINA","AP-10516","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA BAUTIZO/COMUNIÓN"
