ID,Title,total_fields,field_1_title,field_1_enabled,field_2_title,field_2_enabled,field_3_title,field_3_enabled,field_4_title,field_4_enabled,,,_enable_text_field_frase_texto,_enable_text_field_numero_cuenta,_enable_text_field_menu
28101,"ETIQUETA CUADRADA BODA colección ""CAMPESTRE""",4,NOMBRE NOVIOS,on,FECHA BODA,on,IGLESIA,off,LOCALIDAD,off,,,off,off,off
28109,"ETIQUETA REDONDA BODA colección ""LILA""",4,NOMBRE NOVIOS,on,FECHA BODA,on,IGLESIA,off,LOCALIDAD,off,,,off,off,off
28136,"ETIQUETA CUADRADA BODA colección ""LILA""",4,NOMBRE NOVIOS,on,FECHA BODA,on,IGLESIA,off,LOCALIDAD,off,,,off,off,off
28146,"MENÚ DE BODA colección ""LILA""",3,NOMBRE NOVIOS,on,FECHA BODA,on,MENÚ,on,,off,,,off,off,on
28148,"TARJETA PARA NOMBRES DE MESAS colección ""LILA""",3,NOMBRE NOVIOS,on,FECHA BODA,on,MENÚ,on,,off,,,off,off,on
28152,"INVITACIÓN BODA colección ""LILA""",5,NOMBRE NOVIOS,on,FECHA BODA,on,"FRASE/TEXTO
",on,LOCALIDAD,off,,,on,off,off
28162,"TARJETA LISTA DE BODA colección ""LILA""",3,NOMBRE NOVIOS,on,FRASE/TEXTO,on,NUMERO CUENTA,on,,off,,,on,on,off
28165,"TARJETA AGRADECIMIENTO colección ""LILA""",3,NOMBRE NOVIOS,on,FRASE/TEXTO,on,NUMERO CUENTA,on,,off,,,on,on,off
28170,"MISAL colección ""LILA""",3,NOMBRE NOVIOS,on,FECHA BODA,on,MENÚ,on,,off,,,off,off,on
28171,"MESERO colección ""LILA""",3,NOMBRE NOVIOS,on,FECHA BODA,on,MENÚ,on,,off,,,off,off,on
28172,"MESERO colección ""CAMPESTRE""",3,NOMBRE NOVIOS,on,FECHA BODA,on,MENÚ,on,,off,,,off,off,on
28326,LLAVERO CON INICIAL DE MADERA,4,NOMBRE NOVIOS/NIÑO,on,FECHA EVENTO,on,INICIAL ,on,OBSERVACIONES,on,,,off,off,off
28336,LLAVERO DE MADERA CON CRUZ O ESTRELLA,3,NOMBRE NOVIOS/NIÑO,on,FECHA EVENTO,on,OBSERVACIONES,on,,off,,,off,off,off
32512,KIT PARA FIESTA - SIRENA,,,off,,off,,off,,off,,,off,off,off
32712,"TARJETA PARA NOMBRES DE MESAS colección ""HORTENSIA""",,,off,,off,,off,,off,,,off,off,off
32717,"MESERO colección ""CORONA FRAMBUESA""",,,off,,off,,off,,off,,,off,off,off
32718,"MISAL colección ""CAMPESTRE""",,,off,,off,,off,,off,,,off,off,off
32726,"MENÚ DE BODA colección ""LILA""",,,off,,off,,off,,off,,,off,off,off
32727,"TARJETA PARA NOMBRES DE MESAS colección ""LILA""",1,,off,,off,,off,,off,,,off,off,off
32728,"MISAL colección ""LILA""",,,off,,off,,off,,off,,,off,off,off
32729,"MESERO colección ""CAMPESTRE""",,,off,,off,,off,,off,,,off,off,off
38611,PACK DE LLAVEROS CON INICIAL DE MADERA,4,NOMBRE NOVIOS/NIÑO,on,FECHA EVENTO,on,INICIAL ,on,OBSERVACIONES,on,,,off,off,off
39083,PACK LLAVERO DE MADERA CON CRUZ O ESTRELLA,3,NOMBRE NOVIOS/NIÑO,on,FECHA EVENTO,on,OBSERVACIONES,on,,off,,,off,off,off
40547,PACK COMUNIÓN PREMIUM - DIBUJO NIÑA TIPO ACUARELA,1,,off,,off,,off,,off,,,off,off,off
40577,PACK COMUNIÓN PREMIUM - DIBUJO DE NIÑO TIPO ACUARELA,0,,off,,off,,off,,off,,,off,off,off
40594,PACK COMUNIÓN PREMIUM -  BALÓN DE FÚTBOL,1,,off,,off,,off,,off,,,off,off,off
40608,PACK COMUNIÓN ESENCIAL - CORONA DE FLORES,1,,off,,off,,off,,off,,,off,off,off
