ID,Title,total_fields,field_1_title,field_1_enabled,field_2_title,field_2_enabled,field_3_title,field_3_enabled,field_4_title,field_4_enabled,field_5_title,field_5_enabled,field_6_title,field_6_enabled,field_7_title,field_7_enabled,field_8_title,field_8_enabled
20900,RECORDATORIO CUADRADO CON FLORES AZULES,5,NOMBRE,on,APELLIDOS,off,FECHA ,off,NOMBRE IGLESIA,on,LOCALIDAD,on,,,,,,
20906,RECORDATORIO CUADRADO CON FLORES ROSAS,5,NOMBRE,on,APELLIDOS,off,FECHA ,off,NOMBRE IGLESIA,on,LOCALIDAD,on,,,,,,
20964,ETIQUETA LEÓN,2,NOMBRE DE LA NIÑA O EL NIÑO,on,FECHA DEL BAUTIZO/CUMPLEAÑOS/COMUNIÓN,on,,,,,,,,,,,,
20978,ETIQUETA LUNARES,2,NOMBRE DE LA NIÑA O EL NIÑO,on,FECHA DEL BAUTIZO/CUMPLEAÑOS/COMUNIÓN,on,,,,,,,,,,,,
20995,ETIQUETA ESTRELLITAS,2,NOMBRE DE LA NIÑA O EL NIÑO,on,FECHA DEL BAUTIZO/CUMPLEAÑOS/COMUNIÓN,on,,,,,,,,,,,,
21009,"LIBRO DE FIRMAS BAUTIZO CON ELEFANTE, LEON O JIRAFA",4,NOMBRE DEL BEBÉ,on,FECHA DEL BAUTIZO,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD DEL BAUTIZO,on,,,,,,,,
21115,ETIQUETA REDONDA PARA BAUTIZO CON ANIMALES,2,NOMBRE DEL NIÑO/A,on,FECHA DEL BAUTIZO,on,,,,,,,,,,,,
21134,ETIQUETA GUIRNALDA DE FLORES ROSAS,2,NOMBRE DE LA NIÑA,on,FECHA DEL BAUTIZO/CUMPLEAÑOS/COMUNIÓN,on,,,,,,,,,,,,
21148,ETIQUETA GUIRNALDA DE FLORES RUSTICAS AZULES,2,NOMBRE DE LA NIÑA,on,FECHA DEL BAUTIZO/CUMPLEAÑOS/COMUNIÓN,on,,,,,,,,,,,,
21162,ETIQUETA GUIRNALDA DE FLORES AZULES DELICADAS,2,NOMBRE DE LA NIÑA,on,FECHA DEL BAUTIZO/CUMPLEAÑOS/COMUNIÓN,on,,,,,,,,,,,,
21175,ETIQUETA CON FONDO DE FLORES ROSAS,2,NOMBRE DE LA NIÑA,on,FECHA DEL BAUTIZO/CUMPLEAÑOS,on,,,,,,,,,,,,
21192,RECORDATORIO DOBLE CON INICIAL CON CUADROS VICHY,5,NOMBRE,on,APELLIDOS,on,FECHA ,on,NOMBRE IGLESIA,on,LOCALIDAD,on,,,,,,
21210,CUADERNO CON INCIAL,2,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,,,,,,,,,,,,
21264,INVITACIÓN DE BAUTIZO CON BEBÉ,5,NOMBRE DEL NIÑO,on,FECHA DEL BAUTIZO,on,IGLESIA,on,LOCALIDAD,on,LUGAR DEL CONVITE,on,,,,,,
21276,INVITACIÓN DE BAUTIZO CON ANIMALES,5,NOMBRE DEL NIÑO,on,FECHA DEL BAUTIZO,on,IGLESIA,on,LOCALIDAD,on,LUGAR DEL CONVITE,on,,,,,,
21469,ETIQUETAS CON FORMA DE BEBÉ + ETIQUETA NOMBRE,2,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,,,,,,,,,,,,
21484,KIT PARA FIESTA - CAPERUCITA ROJA,2,NOMBRE,off,FECHA DE LA FIESTA,off,,,,,,,,,,,,
21508,KIT PARA FIESTA - BAILARINA,2,NOMBRE DE LA NIÑA,on,FECHA DE LA FIESTA ,on,,,,,,,,,,,,
21526,KIT PARA FIESTA - UNICORNIO,2,NOMBRE DE LA NIÑA,on,FECHA DE LA FIESTA ,on,,,,,,,,,,,,
21542,KIT PARA FIESTA - SIRENA,2,NOMBRE DE LA NIÑA,off,FECHA DE LA FIESTA ,off,,,,,,,,,,,,
21551,KIT PARA FIESTA - ANIMALES DEL BOSQUE,2,NOMBRE DE LA NIÑA O NIÑO,on,FECHA DE LA FIESTA ,on,,,,,,,,,,,,
21672,LIBRO DE FIRMAS BAUTIZO CON ANIMALES DEL BOSQUE,4,NOMBRE DEL BEBÉ,on,FECHA DEL BAUTIZO,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD DEL BAUTIZO,on,,,,,,,,
21692,"LÁMINA DE ÁRBOL DE HUELLAS CON ELEFANTE, LEON O JIRAFA",4,NOMBRE DEL BEBÉ,on,FECHA DEL BAUTIZO,on,NOMBRE DE LA IGLESIA,off,LOCALIDAD DEL BAUTIZO,off,,,,,,,,
21699,LÁMINA DE ÁRBOL DE HUELLAS CON ANIMALES DEL BOSQUE,4,NOMBRE DEL BEBÉ,on,FECHA DEL BAUTIZO,on,NOMBRE DE LA IGLESIA,off,LOCALIDAD DEL BAUTIZO,off,,,,,,,,
21855,LIBRO DE FIRMAS DE COMUNION  PARA NIÑO CON  CORONA,5,NOMBRE DE LA NIÑO,on,APELLIDOS DE LA NIÑO,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LUGAR DE LA COMUNIÓN,on,,,,,,
21973,LÁMINA DE ARBOL DE HUELLAS DE COMUNIÓN NIÑA,2,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,,,,,,,,,,,,
22004,RECORDATORIO DE COMUNIÓN DE NIÑA (apaisado 15 x 10 cm),4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
22012,RECORDATORIO DE COMUNIÓN DE NIÑA CON GUIRNALDA (apaisado 15 x 10 cm),4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
22020,RECORDATORIO COMUNIÓN CON GUIRNALDA ( apaisado 15 x 10 cm),4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
